,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
2714,214,3155,5.0,20.0,8.0,2.0,20.0,Lumberjack,2002,,"Abstract Strategy,Action / Dexterity",,"Alan R. Moon,Aaron Weissblum",Components: 3-Dimensional (3D),"Commodity Speculation,Set Collection,Stock Holding",Schmidt Spiele,161,5.7528
2718,218,3159,4.0,45.0,10.0,2.0,30.0,Zahltag,2002,Atelier Wilinski,"Card Game,City Building",,Franz-Benno Delonge,,"Auction/Bidding,Set Collection",Ravensburger,123,5.67846
2721,221,3162,2.0,90.0,10.0,2.0,90.0,Invasion of the Air-eaters,1979,Doug Potter,"Science Fiction,Wargame",,Keith Gross,"Creatures: Aliens / Extraterrestrials,Decades: The 1980's,Players: Two Player Only Games,Series: MicroGame (Metagaming)","Dice Rolling,Grid Movement,Hexagon Grid,Movement Points,Ratio / Combat Results Table,Simulation,Tech Trees / Tech Tracks",Metagaming,123,6.28537
2722,222,3163,2.0,120.0,12.0,2.0,120.0,Doom of the Eldar,1993,"David Gallagher,Richard Wright","Science Fiction,Wargame",,Jervis Johnson,"Creatures: Aliens / Extraterrestrials,Players: Two Player Only Games,Setting: Warhammer 40,000 Board Games,Setting: Warhammer 40,000 Wargames","Area Movement,Dice Rolling,Events,Ratio / Combat Results Table,Secret Unit Deployment",Games Workshop Ltd.,203,6.42857
2727,227,3170,2.0,120.0,12.0,2.0,120.0,Horus Heresy (1993),1993,"Jim Burns,David Gallagher","Science Fiction,Wargame",,Jervis Johnson,"Fictional Events: Horus Heresy,Players: Two Player Only Games,Setting: Warhammer 40,000 Board Games,Setting: Warhammer 40,000 Wargames",Area Movement,Games Workshop Ltd.,214,6.50203
2734,234,3177,2.0,120.0,14.0,2.0,120.0,Battle for Armageddon,1992,"Chris Baker,John Blanche,Mark Gibbons","Print & Play,Science Fiction,Wargame",,Jervis Johnson,"Players: Two Player Only Games,Setting: Warhammer 40,000 Board Games,Setting: Warhammer 40,000 Wargames","Area Movement,Dice Rolling,Hexagon Grid,Set Collection","(Web published),Games Workshop Ltd.",288,6.5481
2737,237,3181,6.0,30.0,8.0,2.0,30.0,Farkle,1996,,Dice,,Charlie Potter,"Game: Farkle,Mechanism: Roll-and-Write,Traditional Games: Dice 10,000 games","Dice Rolling,Paper-and-Pencil,Push Your Luck,Re-rolling and Locking,Set Collection","Cardinal,Legendary Games, Inc.,Patch Products,PlayMonster,Reveal Entertainment, Inc.,Spin Master Ltd.",2275,5.58082
2738,238,3182,6.0,20.0,16.0,2.0,20.0,Vanished!,1990,,Memory,,Uli Geissler,Series: Think (Ravensburger),"Betting and Bluffing,Memory,Set Collection","bePuzzled,F.X. Schmid,Gibsons,Lombard Marketing,Ravensburger",210,5.77929
2739,239,3183,2.0,60.0,12.0,2.0,60.0,Car Wars (Fifth Edition),2002,,"Racing,Transportation,Wargame",,"Chad Irby,Steve Jackson (I)","Game: Car Wars,Players: Two Player Only Games","Dice Rolling,Modular Board,Role Playing,Simultaneous Action Selection",Steve Jackson Games,229,6.10921
2745,245,3190,4.0,15.0,6.0,2.0,15.0,Quixo,1995,,Abstract Strategy,,Thierry Chapeau,"Category: Combinatorial,Category: n in a row,Components: 5 x 5 Grids,Misc: Mensa Select,Series: Basic (Gigamic),Series: Classic (Gigamic)","Pattern Building,Tile Placement","Family Games, Inc.,Fundex,Gigamic,Korea Boardgames Co., Ltd.,Oficina do Aprendiz",795,6.15968
2748,248,3194,6.0,20.0,10.0,2.0,20.0,Dots,1998,"Dave Clegg,Idgie Lo,Jürgen Martens",Card Game,,Bernhard Naegele,,,"Adlung-Spiele,Gamewright,Swan Panasia Co., Ltd.",120,5.03833
2754,254,3201,2.0,30.0,12.0,2.0,30.0,Lord of the Rings: The Confrontation,2002,John Howe,"Adventure,Bluffing,Deduction,Fantasy,Movies / TV / Radio theme,Novel-based",,Reiner Knizia,"Authors: J.R.R. Tolkien,Players: Two Player Only Games,Series: Two-player games (Kosmos)","Area Movement,Card Play Conflict Resolution,Hand Management,Memory,Secret Unit Deployment,Simultaneous Action Selection,Variable Player Powers","999 Games,Alga,Fantasy Flight Games,Galakta,Kaissa Chess & Games,KOSMOS,Nexus Editrice,Sophisticated Games,Tilsit",6589,7.19184
2755,255,3202,1.0,180.0,12.0,1.0,180.0,RAF,1986,Kevin Wilkins,"Aviation / Flight,Wargame,World War II",,John H. Butterfield,"Country: Great Britain,Country: United Kingdom,Players: Games with Solitaire Rules,Players: Solitaire Only Games,Players: Solitaire Only Wargames,Players: Wargames with Solitaire Rules","Campaign / Battle Card Driven,Dice Rolling,Movement Points,Ratio / Combat Results Table,Simulation,Solo / Solitaire Game","Hobby Japan,West End Games",618,7.36961
2760,260,3208,4.0,45.0,9.0,2.0,45.0,Dragonland,2002,David Wyatt,"Dice,Fantasy,Medieval",,Reiner Knizia,Creatures: Dragons,Set Collection,"Ravensburger,Rio Grande Games",929,6.28897
2768,268,3218,2.0,240.0,14.0,2.0,240.0,The Arab-Israeli Wars: Tank Battles in the Mideast,1977,Randall C. Reed,"Arabian,Modern Warfare,Wargame",,"Seth Carus,Richard Hamblen,Randall C. Reed,Russell Vane","Admin: Better Description Needed!,Country: Egypt,Country: Israel,Country: Jordan,Country: Syria,History: Six-Day War,History: Suez Crisis,History: Yom Kippur War,Players: Two Player Only Games,Region: Middle East,Series: PanzerBlitz (Avalon Hill)","Dice Rolling,Events,Grid Movement,Hexagon Grid,Line of Sight,Modular Board,Movement Points,Ratio / Combat Results Table,Scenario / Mission / Campaign Game,Simulation",The Avalon Hill Game Co,672,6.37586
2773,273,3226,4.0,60.0,12.0,1.0,60.0,Bowl Bound,1973,,"Dice,Sports",,"David S. Neft,Dr. Thomas Nicely","Series: Sports Illustrated Line (Time, Inc),Sports: American Football / Gridiron","Dice Rolling,Simulation","April House,The Avalon Hill Game Co,Sports Illustrated",215,6.9786
2775,275,3228,4.0,60.0,10.0,2.0,60.0,Pueblo,2002,"Jamel Akib,Ole Höpfner,Joachim Krause,Pinball,Wolfgang Scheit",Abstract Strategy,,"Michael Kiesling,Wolfgang Kramer","Category: Combinatorial,Components: 3-Dimensional (3D),Theme: Native Americans / First Peoples","Enclosure,Tile Placement",Ravensburger,2413,6.92635
2777,277,3230,4.0,90.0,10.0,3.0,90.0,Tyros,2002,Bernd Wagenfeld,"Ancient,Civilization,Nautical,Negotiation",,Martin Wallace,"Country: Lebanon,Region: Mediterranean Sea,Series: Spiele für viele (Kosmos)",Trading,"999 Games,Kaissa Chess & Games,KOSMOS,Smart Ltd",897,6.45321
2778,278,3231,5.0,90.0,12.0,3.0,90.0,Die Sieben Weisen,2002,Felix Scheinberger,"Card Game,Negotiation",,Reiner Stockhausen,Series: Alea Small Box,"Auction/Bidding,Team-Based Game","alea,Ravensburger",306,5.99886
2781,281,3234,4.0,60.0,10.0,3.0,45.0,Dschunke,2002,"Jörg Asselborn,Christof Tisch",Economic,,Michael Schacht,Admin: Better Description Needed!,Auction/Bidding,Queen Games,1072,6.63288
2782,282,3236,6.0,120.0,10.0,2.0,60.0,WildLife,2002,,"Animals,Prehistoric",,Wolfgang Kramer,"Admin: Better Description Needed!,Theme: Evolution,Theme: Safaris","Area Majority / Influence,Auction/Bidding,Tile Placement","Clementoni,Überplay",1345,6.65362
2783,283,3237,2.0,1200.0,12.0,2.0,480.0,Against the Reich,1986,"Stephen Crane,Richard A. Johnson,Diane Malz,Kevin Wilkins","Wargame,World War II",,Joseph M. Balkoski,Players: Two Player Only Games,"Action Points,Hexagon Grid",West End Games,132,6.84394
2788,288,3242,5.0,45.0,10.0,2.0,45.0,Clash of the Gladiators,2002,Mathias Dietze,"Ancient,Fighting",,Reiner Knizia,"Admin: Better Description Needed!,Ancient: Rome,Theme: Gladiators","Dice Rolling,Player Elimination","999 Games,Hans im Glück,Rio Grande Games",952,5.90848
2789,289,3243,4.0,30.0,7.0,2.0,30.0,Wooly Wars,2002,François Bruel,"Animals,Bluffing,Farming,Puzzle","Lobo: 10° Aniversário,Wilki i Owce (zawiera dodatek Grube Ryby)",Philippe des Pallières,"Animals: Sheep,Animals: Wolves,Digital Implementations: Boiteajeux","Enclosure,Hand Management,Player Elimination,Tile Placement","999 Games,Amo Oy,Asmodee,Goldsieber Spiele,Granna,Laser plus,Lui-même,Morapiaf,Red Glove",2671,6.09429
2792,292,3246,2.0,120.0,12.0,2.0,120.0,Albion: Land of Faerie,1981,"Redmond A. Simonsen,Timothy Truman","Fantasy,Wargame",,David James Ritchie,"Country: United Kingdom,Magazine: Ares,Players: Two Player Only Games","Dice Rolling,Grid Movement,Hexagon Grid,Simulation","SPI (Simulations Publications, Inc.)",128,6.70469
2793,293,3247,4.0,60.0,10.0,2.0,60.0,Planet Busters,1982,"Alvin Helms,Tom Wham","Fighting,Science Fiction",,"James M. Ward,Tom Wham","Magazine: Dragon,Space: Comets,Space: Earth's Solar System,Space: Jupiter,Space: Mars,Space: Mercury,Space: Neptune,Space: Pluto,Space: Saturn,Space: Uranus,Space: Venus","Dice Rolling,Hand Management,Secret Unit Deployment,Variable Set-up","Troll Lord Games,TSR",122,5.84262
2794,294,3248,6.0,120.0,10.0,1.0,120.0,Citadel of Blood,1980,"Barclay Shaw,Redmond A. Simonsen","Adventure,Exploration,Fantasy,Fighting,Maze",,Eric Lee Smith,"Animals: Wolves,Category: Dungeon Crawler,Creatures: Monsters,Creatures: Vampires,Magazine: Ares,Players: Games with Solitaire Rules","Cooperative Game,Dice Rolling,Events,Modular Board,Paper-and-Pencil,Role Playing,Scenario / Mission / Campaign Game,Tile Placement,Variable Player Powers,Variable Set-up","Encore,Hobby Japan,SharpSharkGames,SPI (Simulations Publications, Inc.)",246,6.52703
2795,295,3249,2.0,60.0,12.0,1.0,60.0,Rescue from the Hive,1981,"John W. Pierard,Redmond A. Simonsen","Science Fiction,Wargame",,Nick Karp,"Creatures: Aliens / Extraterrestrials,Magazine: Ares,Players: Games with Solitaire Rules,Players: Wargames with Solitaire Rules","Area Movement,Dice Rolling,Grid Movement,Pick-up and Deliver,Secret Unit Deployment","Encore,SPI (Simulations Publications, Inc.)",151,5.74106
2797,297,3251,5.0,120.0,12.0,2.0,120.0,Barbarian Kings,1980,"Jason Millet,Redmond A. Simonsen","Fantasy,Negotiation,Wargame",,Greg Costikyan,Magazine: Ares,"Action Queue,Area Movement,Dice Rolling,Programmed Movement,Ratio / Combat Results Table,Secret Unit Deployment","Hobby Japan,Jolly Roger Games,Kokusai-Tsushin Co., Ltd. (国際通信社),SPI (Simulations Publications, Inc.)",189,5.97143
2807,307,3262,4.0,30.0,8.0,2.0,30.0,The Powerpuff Girls: Villains at Large Game,2000,,"Card Game,Movies / TV / Radio theme",,Craig Van Ness,TV Shows: The Powerpuff Girls,"Auction/Bidding,Hand Management",Milton Bradley,176,6.44051
2808,308,3263,4.0,360.0,12.0,2.0,360.0,Ukraine '43,2000,"Rodger B. MacGowan,Mark Simonitch,Sawshun Yamaguchi","Wargame,World War II",,"Tony Curtis,Mark Simonitch","Country: Soviet Union,Country: Ukraine,Series: ZOC Bond System","Dice Rolling,Hexagon Grid,Zone of Control","GMT Games,Kokusai-Tsushin Co., Ltd. (国際通信社)",428,7.83619
2810,310,3265,4.0,120.0,0.0,2.0,120.0,NUTS!,1998,,"Card Game,Wargame,World War II",,David McElhannon,History: World War II (Battle of the Bulge),"Campaign / Battle Card Driven,Dice Rolling,Hand Management,Line Drawing,Simulation",Decision Games (I),107,6.0972
2812,312,3267,6.0,45.0,12.0,3.0,45.0,Pizarro & Co.,2002,Franz Vohwinkel,"Exploration,Renaissance",,Thomas Lehmann,Country: Portugal,Auction/Bidding,"999 Games,Hans im Glück,Kaissa Chess & Games,Rio Grande Games",1376,6.52481
2814,314,3269,5.0,45.0,8.0,3.0,45.0,Clue: The Card Game,2002,,"Card Game,Deduction,Murder/Mystery",,Phil Orbanes Sr.,"Game: Cluedo / Clue (Parker Brothers, et al),Versions & Editions: Card Versions of Non-Card Games",,"Cartamundi,Competo / Marektoy,Hasbro,Nilco S.A.,Winning Moves Games (USA)",644,5.84025
2816,316,3271,2.0,60.0,10.0,2.0,60.0,Battlesuit,1983,"Denis Loubet,David Martin (II)","Science Fiction,Wargame",,Steve Jackson (I),"Game: Ogre / G.E.V.,Magazine: Space Gamer,Players: Two Player Only Games,Series: Pocket Box (Steve Jackson Games)","Dice Rolling,Hexagon Grid,Line of Sight,Point to Point Movement,Simulation,Three Dimensional Movement",Steve Jackson Games,131,5.39504
2818,318,3273,6.0,120.0,10.0,2.0,120.0,Cat Attack,2002,,"Adventure,Fighting,Party Game",,Jonathan Self,Animals: Cats,"Pick-up and Deliver,Role Playing,Roll / Spin and Move,Set Collection","Boardroom Productions, Ltd.",106,5.47594
2823,323,3279,4.0,60.0,10.0,2.0,60.0,Magi-Nation Duel,2000,"Michael Christopher,Matt Holmberg,Michael Vega,Rich Werner","Card Game,Collectible Components,Fantasy",,"Josh Lytle,Stephen McLaughlin,Philip Tavel,Dan Tibbles",Collectible: Collectible Card Games,"Hand Management,Player Elimination,Variable Player Powers",Interactive Imagination Corporation,267,7.03516
2826,326,3284,6.0,30.0,8.0,2.0,30.0,Star Wars: Epic Duels,2002,,"Fighting,Miniatures,Movies / TV / Radio theme,Science Fiction",,"Rob Daviau,Craig Van Ness","Components: Miniatures,Movies: Star Wars","Campaign / Battle Card Driven,Player Elimination,Roll / Spin and Move,Variable Player Powers","Milton Bradley,Hasbro",3129,7.0037
2827,327,3285,5.0,45.0,8.0,2.0,45.0,Star Wars: Jedi Unleashed,2002,,"Dice,Fighting,Movies / TV / Radio theme,Science Fiction,Wargame",,Craig Van Ness,Movies: Star Wars,"Dice Rolling,Grid Movement,Player Elimination","Hasbro,Milton Bradley",306,4.73118
2836,336,3294,6.0,30.0,10.0,2.0,30.0,Dumm gelaufen!,1998,Uwe Schildmeier,Card Game,,"Hajo Bücken,Dirk Hanneforth","Admin: Better Description Needed!,Series: Kartenspiele (Ravensburger)",,"F.X. Schmid,Ravensburger",281,5.53327
2847,347,3305,4.0,30.0,8.0,2.0,30.0,Anticipation,1987,,Animals,,"Michael K. Lorrigan,S. Ray",Animals: Ants,"Roll / Spin and Move,Set Collection","Bandai,Capital Games Ltd,danspil,Huki,Liniex,Parker Brothers,Parker Spiele,Piatnik",125,5.73168
2849,349,3307,5.0,150.0,12.0,3.0,150.0,Wallenstein,2002,"Jörg Asselborn,Christof Tisch","Economic,Pike and Shot,Territory Building",,Dirk Henn,"Country: Germany,History: Thirty Years War","Action Points,Action Queue,Area Majority / Influence,Area Movement,Cube Tower,Simultaneous Action Selection,Variable Phase Order",Queen Games,3510,7.46507
2850,350,3309,2.0,90.0,12.0,2.0,90.0,Air Cav,1985,,"Aviation / Flight,Modern Warfare,Wargame",,"Joseph M. Balkoski,Greg Costikyan,Eric Goldberg,Tony Merridy","Players: Two Player Only Games,Theme: Helicopters","Dice Rolling,Grid Movement,Hexagon Grid,Scenario / Mission / Campaign Game,Simulation",West End Games,180,5.96142
2853,353,3312,2.0,120.0,12.0,2.0,120.0,1776: The Game of the American Revolutionary War,1974,"W. Scott Moores,Randall C. Reed,Thomas N. Shaw","Age of Reason,American Indian Wars,American Revolutionary War,Wargame",,Randall C. Reed,Players: Two Player Only Games,"Dice Rolling,Grid Movement,Hexagon Grid,Movement Points,Simulation",The Avalon Hill Game Co,974,6.50346
2854,354,3313,4.0,30.0,7.0,2.0,30.0,Traverse,1987,,Abstract Strategy,,"Michael Kuby,John Miller","Category: Combinatorial,Misc: Mensa Select",Square Grid,"Alga,Brio AB,Damm / Egmont,Educa Korea,Educational Insights,Glacier,Mitra",268,5.9528
2857,357,3316,2.0,180.0,12.0,1.0,180.0,Prussia's Glory: The Battles of Frederick the Great,2002,"Rodger B. MacGowan,Mark Simonitch","Age of Reason,Wargame",,Bob Kalinowski,"History: Age of Kings,History: Seven Years War",Hexagon Grid,GMT Games,168,6.72619
2859,359,3318,2.0,45.0,10.0,2.0,45.0,Heave Ho!,2002,Franz Vohwinkel,"Card Game,Real-time",,Richard Borg,"Players: Two Player Only Games,Series: Two-player games (Kosmos)",Hand Management,"KOSMOS,Rio Grande Games,Tilsit",913,6.26322
2860,360,3319,2.0,10.0,0.0,2.0,10.0,Neutreeko,2001,,"Abstract Strategy,Print & Play",,Jan Kristian Haugland,"Category: Combinatorial,Digital Implementations: Board Game Arena,Players: Two Player Only Games","Pattern Building,Point to Point Movement","(Self-Published),(Web published)",107,5.47626
2861,361,3320,4.0,60.0,9.0,2.0,60.0,The Game of Life: A Jedi's Path,2002,,"Movies / TV / Radio theme,Science Fiction",,"Rob Daviau,Reuben Klamer","Game: Game of Life,Movies: Star Wars",Roll / Spin and Move,"Hasbro,Milton Bradley",469,5.30576
2862,362,3321,2.0,45.0,10.0,2.0,45.0,Die Pyramiden des Jaguar,2002,Andreas Steiner,Card Game,,Günter Burkhardt,"Players: Two Player Only Games,Series: Two-player games (Kosmos)","Card Drafting,Hand Management","999 Games,Kaissa Chess & Games,KOSMOS",891,6.08235
2865,365,3324,4.0,60.0,8.0,2.0,60.0,Railroader,1963,,"American West,Children's Game,Racing,Trains",,(Uncredited),,"Push Your Luck,Roll / Spin and Move,Tile Placement","Franz Schmidt,Giochiclub,John Waddington Ltd.,Miro Company,Waddingtons",115,5.36174
2875,375,3337,8.0,30.0,8.0,2.0,30.0,Double Down,1993,Oliver Freudenreich,Card Game,,Thomas Pauli,Characters: Lauras Stern,"Player Elimination,Take That","AMIGO,Asmodee,Dr. Wood Challenge Centre,Gigamic,Korea Boardgames Co., Ltd.,Midgaard Games,MINDOK,Paper Iyagi,Piatnik,Y.E.S. A/S",597,5.61817
2877,377,3339,5.0,20.0,10.0,2.0,20.0,Diceland: Deep White Sea,2002,Eduardo Muller,"Action / Dexterity,Collectible Components,Dice,Fantasy,Fighting,Science Fiction",,"James Ernest,Toivo Rovainen",Game: Diceland,"Dice Rolling,Variable Player Powers",Cheapass Games,274,6.42841
2879,379,3341,4.0,45.0,13.0,2.0,45.0,Burn Rate,2002,,"Card Game,Economic",,Rich Koehler,,"Card Drafting,Hand Management,Take That","BoardM Factory,Cool Studio,Mandoo Games,Paper Iyagi,Swan Panasia Co., Ltd.,Toy Vault, Inc.",632,6.05585
2881,381,3343,6.0,60.0,8.0,2.0,60.0,Go For Broke,1965,Rob Sheffield,"Economic,Humor",,(Uncredited),,"Betting and Bluffing,Dice Rolling,Roll / Spin and Move,Stock Holding","The Games Gang, LTD,El Greco,Hasbro,MB Giochi,MB Jeux,MB Juegos,MB spel,MB Spellen,MB Spiele,MB spill,Milton Bradley,Parker Brothers,Sababa Toys, Inc.,Selchow & Righter,Vic-Toy,Western Publishing Company",1253,4.73835
2882,382,3344,2.0,60.0,12.0,1.0,60.0,Lone Wolf and Cub Game,1989,Matt Wagner,Adventure,,Matthew J. Costello,Theme: Anime / Manga,Role Playing,Mayfair Games,139,4.29914
2884,384,3347,10.0,30.0,6.0,2.0,30.0,Solo,1993,,Card Game,,Thomas Pauli,"Card Games: Shedding / Stops,Characters: Lauras Stern,Digital Implementations: Board Game Arena,Series: Die wilden Fussballkerle (Kosmos),Traditional Card Games: Eights",,"999 Games,AMIGO,Dal Negro,Dino Entertainment,Editrice Giochi,Gigamic,KADABRA,Lautapelit.fi,Piatnik,Swan Panasia Co., Ltd.,Y.E.S. A/S",868,5.35697
2885,385,3348,5.0,60.0,12.0,2.0,60.0,Santa Fe Rails,2001,"Rodger B. MacGowan,Mark Simonitch",Trains,,Alan R. Moon,"Admin: Better Description Needed!,Cities: Santa Fe (New Mexico, USA),Game: Santa Fe","Card Drafting,Network and Route Building,Simultaneous Action Selection",GMT Games,849,6.79593
2889,389,3352,6.0,45.0,8.0,2.0,45.0,Gouda! Gouda!,2002,,"Animals,Children's Game",,Fréderic Moyersoen,Animals: Mice,Roll / Spin and Move,Descartes Editeur,212,5.24198
2890,390,3353,2.0,420.0,14.0,2.0,420.0,World War II: Barbarossa to Berlin,2002,"Rodger B. MacGowan,Mark Simonitch","Wargame,World War II",,Ted Raicer,"Cities: Berlin (Germany),Country: Germany,Country: Russia,Country: Soviet Union,Country: Ukraine,Players: Two Player Only Games","Action/Event,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,Simulation","Devir,GMT Games",1213,7.32416
2894,394,3357,6.0,30.0,10.0,2.0,30.0,Wie Hund und Katz!,2002,Franz Vohwinkel,"Animals,Card Game",,Chris Bayliss,"Animals: Cats,Animals: Dogs",,Goldsieber Spiele,116,5.59138
2900,400,3365,6.0,120.0,12.0,1.0,120.0,Gumshoe,1985,"Helen Doward,Gary Grady,William Lamb","Deduction,Murder/Mystery",,Gary Grady,"Books: Mystery Novels,Cities: San Francisco (California, USA),Players: Games with Solitaire Rules,Theme: Mystery / Crime","Cooperative Game,Paper-and-Pencil,Solo / Solitaire Game,Storytelling",Sleuth Publications,136,7.49228
2903,403,3369,6.0,360.0,12.0,2.0,60.0,John Carter: Warlord of Mars,1979,"Don Maitz,Redmond A. Simonsen","Fantasy,Fighting,Novel-based,Science Fiction,Wargame",,"Eric Goldberg,Mark Herman","Admin: Better Description Needed!,Authors: Edgar Rice Burroughs,Space: Mars","Critical Hits and Failures,Dice Rolling,Events,Grid Movement,Paper-and-Pencil,Point to Point Movement,Role Playing,Scenario / Mission / Campaign Game,Secret Unit Deployment,Simulation,Square Grid,Variable Player Powers,Variable Set-up","SPI (Simulations Publications, Inc.)",165,6.58812
2904,404,3370,2.0,10.0,10.0,2.0,10.0,Connections,1991,,Abstract Strategy,,Tom McNamara,"Category: Combinatorial,Mechanism: Connection,Players: Two Player Only Games","Pattern Building,Tile Placement","ASS Altenburger Spielkarten,Blue Zebra,Connections International (Europe) Ltd,Connections International Ltd,Connections U.S.A. Inc.,Sentosphère",173,5.75173
2907,407,3373,4.0,45.0,9.0,2.0,45.0,San Gimignano,2002,Franz Vohwinkel,Abstract Strategy,,Duilio Carpitella,"Cities: San Gimignano (Italy),Region: Tuscany (Italy)","Enclosure,Modular Board","Piatnik,Rio Grande Games",132,5.52172
2911,411,3377,7.0,30.0,8.0,2.0,30.0,20 Questions,1988,Rita Åse,"Deduction,Party Game,Trivia",,"Scott A. Mednick,A. Robert Moog",Traditional Games: 20 Questions,,"Cappelen,Grow Jogos e Brinquedos,Hasbro,MB Giochi,MB Spellen,MB Spiele,Milton Bradley,NIG Brinquedos,NRK,Pressman Toy Corp.,University Games",689,5.66824
2912,412,3378,4.0,60.0,9.0,3.0,60.0,The Inventors,1974,,,,Marvin Glass,Components: Drop Tower,Roll / Spin and Move,Parker Brothers,338,5.49982
2917,417,3383,6.0,20.0,6.0,2.0,20.0,Mahé,1974,"Fred Bauer,Sybille Engels,Klemens Franz,Alex Randolph","Animals,Dice",,Alex Randolph,"Animals: Kangaroos,Animals: Turtles,Islands: Galápagos (Ecuador),Theme: Food / Cooking,Theme: Tropical,Theme: Tropical Islands","Dice Rolling,Push Your Luck,Roll / Spin and Move","Egmont Polska,franjos Spieleverlag,Gonggan27,International Team,Möbius Games,OPEN'N PLAY,Oya,Ravensburger,Winterthur Schweizerische Versicherungs-Gesellschaft",682,6.3183
2919,419,3385,2.0,30.0,8.0,2.0,30.0,Stratego: Star Wars,2002,,"Abstract Strategy,Bluffing,Deduction,Fantasy,Fighting,Memory,Movies / TV / Radio theme,Science Fiction",,(Uncredited),"Game: Stratego,Movies: Star Wars,Players: Two Player Only Games","Area Movement,Memory,Secret Unit Deployment",Hasbro,440,6.00905
2927,427,3394,6.0,120.0,8.0,2.0,120.0,Monopoly: The Simpsons,2001,Matt Groening,"Economic,Movies / TV / Radio theme,Negotiation",,(Uncredited),"Game: Monopoly (Official),TV Shows: The Simpsons","Auction/Bidding,Player Elimination,Roll / Spin and Move,Set Collection,Trading","Estrela,Hasbro,The Op,Parker Brothers",694,5.23276
2935,435,3403,6.0,180.0,12.0,1.0,180.0,Rise and Fall,1989,"Meredith Edwards,Kaarin Engelmann","Ancient,Wargame",,Karsten Engelmann,"Ancient: Rome,History: Barbarian migrations and invasions,History: Byzantium,History: Roman Empire","Area Majority / Influence,Area Movement,Variable Player Powers",EMS,136,6.53051
2936,436,3404,4.0,20.0,8.0,2.0,20.0,The Legend of Landlock,1995,Hala Wittwer,Abstract Strategy,,Edith Schlichting,Misc: Mensa Select,Tile Placement,"AMIGO,Edith Schlichting Company,Gamewright",413,5.75248
2937,437,3405,5.0,30.0,10.0,3.0,30.0,Tin Soldiers,2002,,Card Game,,Al Newman,Theme: Food / Cooking,"Hand Management,Team-Based Game,Trick-taking",R&R Games,201,5.83876
2938,438,3406,2.0,20.0,10.0,2.0,20.0,Lines of Action,1969,,Abstract Strategy,A Gamut of Games,Claude Soucie,"Category: Combinatorial,Digital Implementations: Board Game Arena,Mechanism: Connection,Players: Two Player Only Games,Series: Abacus Wood Box,Series: Gamut of Games (Sid Sackson)","Grid Movement,Pattern Building,Static Capture","ABACUSSPIELE,Hexagames (I),W. Nostheide Verlag GmbH",464,7.10283
2940,440,3408,2.0,240.0,12.0,2.0,240.0,This Accursed Civil War,2002,"Rodger B. MacGowan,Mark Simonitch","Civil War,Pike and Shot,Wargame",,Ben Hull,"Country: Great Britain,History: Age of Kings,History: English Civil War,Players: Two Player Only Games,Series: Musket & Pike Battle (GMT/Vae Victis)","Dice Rolling,Grid Movement,Hexagon Grid,Line of Sight,Simulation",GMT Games,270,7.55778
2941,441,3409,5.0,240.0,12.0,2.0,240.0,The Napoleonic Wars,2002,"Rodger B. MacGowan,Mark Simonitch","Napoleonic,Wargame",,"Don Greenwood,Ben Knight,Mark McLaughlin","Continents: Europe,Series: Napoleonic Wars (GMT)","Campaign / Battle Card Driven,Point to Point Movement",GMT Games,759,7.01553
2943,443,3411,2.0,300.0,12.0,2.0,300.0,Drive on Paris,2000,,"Wargame,World War I",,"Dean Essig,Alan Wambold","Cities: Paris (France),Players: Two Player Only Games,Series: Standard Combat Series (MMP)","Dice Rolling,Hexagon Grid",The Gamers,164,6.94207
2944,444,3412,2.0,240.0,12.0,2.0,240.0,Brandywine,2000,Rodger B. MacGowan,"Age of Reason,American Revolutionary War,Wargame",,Mark Miklos,"Country: USA,Players: Two Player Only Games,Series: Battles of the American Revolution (GMT),States: Pennsylvania",Hexagon Grid,GMT Games,200,7.30963
2945,445,3413,2.0,180.0,12.0,2.0,180.0,Saratoga,1998,"Rodger B. MacGowan,Joe Youst","Age of Reason,American Revolutionary War,Wargame",,Mark Miklos,"Country: USA,Players: Two Player Only Games,Series: Battles of the American Revolution (GMT)",Hexagon Grid,GMT Games,380,7.14088
2946,446,3414,2.0,240.0,12.0,2.0,240.0,"Yom Kippur: The Battle for the Sinai, October, 1973",1995,"Dean Essig,Sawshun Yamaguchi","Modern Warfare,Wargame",,"Dean Essig,Al Sandrick","Country: Israel,History: Yom Kippur War,Players: Two Player Only Games,Series: Standard Combat Series (MMP)","Dice Rolling,Hexagon Grid,Simulation,Zone of Control","The Gamers,Kokusai-Tsushin Co., Ltd. (国際通信社),Oriflam",357,6.96275
2947,447,3416,2.0,360.0,12.0,2.0,360.0,Fallschirmjaeger: The Airborne Assault on Fortress Holland,2001,,"Wargame,World War II",,"Dean Essig,Alan Wambold","Country: The Netherlands,Players: Two Player Only Games,Series: Standard Combat Series (MMP)","Dice Rolling,Hexagon Grid,Simulation","The Gamers,Multi-Man Publishing",179,7.78289
2950,450,3419,6.0,60.0,10.0,2.0,60.0,Star Trek: The Game,1992,,"Movies / TV / Radio theme,Science Fiction,Trivia",,(Uncredited),TV Shows: Star Trek (various),,Classic Games,165,4.3303
