,Unnamed: 0,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating
84735,345,264982,6.0,90.0,13.0,1.0,60.0,Coloma,2019,Mihajlo Dimitrievski,"American West,City Building",Coloma: Deluxe Edition,Jonny Pac,"Components: Game Trayz Inside,Crowdfunding: Kickstarter,Players: Games with Solitaire Rules","End Game Bonuses,Hand Management,Rondel,Simultaneous Action Selection,Solo / Solitaire Game,Variable Phase Order,Variable Player Powers,Worker Placement","Final Frontier Games,Taverna Ludica Games,TCG Factory",1410,7.43887
84739,349,264991,1.0,30.0,8.0,1.0,5.0,Par Odin,2018,Michel Verdu,"Deduction,Mythology",,Antonin Boccara,"Admin: Better Description Needed!,Mythology: Norse,Players: Solitaire Only Games",Dice Rolling,OldChap Editions,153,6.92277
84756,366,265017,4.0,90.0,12.0,2.0,60.0,Tortuga 2199,2020,Andrew Mironov,"Pirates,Space Exploration",Tortuga 2199: Kickstarter Edition,"Michael Loyko,Denis Plastinin","Crowdfunding: Kickstarter,Crowdfunding: Wspieram","Area Majority / Influence,Deck, Bag, and Pool Building","Jet Games Studio,Grey Fox Games,Lavka Games,Lotus Frog Games,Maldito Games,PHALANX,Schwerkraft-Verlag",318,7.4828
84767,377,265031,2.0,20.0,8.0,2.0,20.0,Ice Team,2019,Camille Chaussy,"Animals,Racing",,"Bruno Cathala,Matthew Dunstan","Animals: Bears,Animals: Fish / Fishes,Components: Miniatures,Players: Two Player Only Games,Region: Arctic,Theme: Anthropomorphic Animals","Grid Movement,Modular Board","The Flying Games,Playagame Edizioni",172,6.84763
84791,401,265113,8.0,90.0,12.0,1.0,90.0,ESCAPE Dysturbia: Mörderischer Maskenball,2018,,"Deduction,Puzzle,Real-time",,,"Category: Escape Room Games,Series: ESCAPE Dysturbia (homunculus spiel)",Cooperative Game,homunculus spiel,108,7.31093
84801,411,265188,4.0,120.0,12.0,2.0,90.0,Glen More II: Chronicles,2019,"Jason Coates,Hendrik Noack","City Building,Economic,Farming,Territory Building",,Matthias Cramer,"Animals: Sheep,Country: Scotland,Crowdfunding: Kickstarter,Digital Implementations: Tabletopia,Game: Glen More,Mechanism: Tableau Building,Misc: LongPack Games","Commodity Speculation,Dice Rolling,Grid Movement,Market,Set Collection,Tile Placement,Time Track","Funtails,Broadway Toys LTD,Engames,GateOnGames,Korea Boardgames Co., Ltd.,Lavka Games,Rebel Sp. z o.o.,Super Meeple",3972,8.00295
84803,413,265202,4.0,60.0,8.0,1.0,20.0,Bag of Dungeon: A Fantasy Adventure Game,2018,Tim Sharville,"Adventure,Fantasy",,"Tim Sharville,Russ Law","Category: Dungeon Crawler,Crowdfunding: Kickstarter,Misc: LongPack Games,Players: Games with Solitaire Rules","Cooperative Game,Modular Board,Role Playing,Semi-Cooperative Game,Solo / Solitaire Game,Tile Placement",Gunpowder Studios,141,7.10626
84805,415,265204,2.0,45.0,10.0,1.0,15.0,Pocket Landship,2019,"Robert Butler,Dominik Kasprzycki","Card Game,Dice,Science Fiction,Wargame",,Scott Allen Czysz,"Crowdfunding: Kickstarter,Theme: Steampunk","Cooperative Game,Dice Rolling,Solo / Solitaire Game",Word Forge Games,369,7.26968
84811,421,265226,4.0,25.0,8.0,1.0,10.0,Mint Tin Mini Skulduggery,2018,David Rene Miller,Dice,,"Kate Beckett,David Rene Miller",Containers: Mint Tins,"Dice Rolling,Push Your Luck,Take That","subQuark, LLC",120,7.95667
84817,427,265249,6.0,45.0,16.0,3.0,20.0,Greenville 1989,2019,David Sitbon,,,Florian Fay,,"Cooperative Game,Storytelling","Sorry We Are French,KOSMOS",217,7.09184
