Unnamed: 0,Unnamed: 0.1,game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,year_published,artist,category,compilation,designer,family,mechanic,publisher,users_rated,average_rating,x,y,z
50749,293,118025,4.0,45.0,10.0,2.0,45.0,Waka Waka,2012,Michael Menzel,"Card Game,Economic",,Rüdiger Dorn,"Continents: Africa,Game: Jambo",Set Collection,"IELLO,KOSMOS,White Goblin Games",311,6.01608,-6.735006,-8.800704,29.593746
50754,298,118048,2.0,60.0,12.0,2.0,60.0,Targi,2012,"Taira Akitsu,Franz Vohwinkel",Card Game,,Andreas Steiger,"Continents: Africa,Digital Implementations: Board Game Arena,Digital Implementations: Yucata,Mechanism: Tableau Building,Players: Two Player Only Games,Series: Two-player games (Kosmos),Theme: Deserts","End Game Bonuses,Modular Board,Set Collection,Turn Order: Progressive,Worker Placement","KOSMOS,999 Games,Devir,Filosofia Éditions,Galakta,Giochi Uniti,Group SNE,IELLO,Kaissa Chess & Games,Korea Boardgames Co., Ltd.,Stupor Mundi,White Goblin Games,Z-Man Games, Inc.",15597,7.6458,-3.7493055,-39.326763,1.5021122
50758,302,118063,6.0,45.0,14.0,2.0,30.0,Android: Infiltration,2012,,"Card Game,Exploration,Science Fiction,Spies/Secret Agents",,Donald X. Vaccarino,"Setting: Android,Theme: Cyberpunk","Dice Rolling,Hand Management,Modular Board,Push Your Luck,Simultaneous Action Selection","Fantasy Flight Games,Arclight,Edge Entertainment,Wargames Club Publishing",3594,6.534,31.242708,40.66645,-2.4491088
50772,316,118174,5.0,90.0,13.0,2.0,30.0,Compounded,2013,"Christopher Kirkman,Darrell Louder","Educational,Industry / Manufacturing,Negotiation",,Darrell Louder,"Crowdfunding: Kickstarter,Theme: Chemistry","Set Collection,Trading","Dice Hate Me Studio,One Moment Games,Rooster Games",2602,6.74351,-31.006132,-39.00891,-3.2405474
50775,319,118177,4.0,20.0,8.0,1.0,20.0,Connections,2012,Anja Nolte,"Abstract Strategy,Puzzle",,Reiner Knizia,Series: Einfach Spielen (Ravensburger),"Network and Route Building,Tile Placement",Ravensburger,121,6.36952,13.770429,-32.78851,14.7625265
50785,329,118215,4.0,15.0,8.0,2.0,15.0,Würfelwurst,2012,"Klemens Franz,Franziskus Wittmann","Animals,Dice",,"Markus Brand,Inka Brand",Components: Dice with Icons,Dice Rolling,KOSMOS,203,6.1471,8.756991,-7.2125115,23.169538
50788,332,118247,4.0,20.0,8.0,2.0,20.0,Lucky Numbers,2012,"Christine Alcouffe,Walter Pepperle","Abstract Strategy,Number",,Michael Schacht,"Digital Implementations: Board Game Arena,Series: Einfach Spielen (Ravensburger)",Tile Placement,"Geronimo Games,Ravensburger,TIKI Editions,Tranjis Games",1173,6.25434,38.752537,-64.9744,10.091294
50795,339,118293,4.0,30.0,8.0,1.0,20.0,Mondo Sapiens,2012,"Oliver Freudenreich,Oliver Schlemmer","Puzzle,Real-time",,Michael Schacht,Series: Mondo (Pegasus Spiele),"Pattern Building,Tile Placement","Pegasus Spiele,White Goblin Games",257,6.50473,31.800472,-33.7386,5.719566
50802,346,118315,5.0,30.0,10.0,3.0,30.0,Ruse,2014,Kelly McClellan,"Card Game,Humor,Memory,Murder/Mystery,Science Fiction",,"Levi Mote,Sarah Sharp","Crowdfunding: Kickstarter,Theme: Steampunk","Hand Management,Memory,Storytelling","Bonsai Entertainment,Game Salute",150,5.5218,74.55653,9.813255,60.091846
50809,353,118330,5.0,45.0,10.0,2.0,45.0,Roll to the South Pole,2012,Paul Laane,"Dice,Racing",,"Emil Amundsen,Eilif Svensson,Kristian Amundsen Østby",Continents: Antarctica,Dice Rolling,Rio Grande Games,129,6.01744,27.570482,2.509528,29.504478
