game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
5195,6,120,10,2,120,The Farming Game,120,1979,"Economic,Farming",,George Rohrbacher,,"Commodity Speculation,Roll / Spin and Move",Weekend Farmer Company,5.78098,635,5.674575,-76.21654,-26.678204
5198,2,60,12,2,60,Stalin's Tanks,60,1981,"Wargame,World War II",,Roger Damon,,Hex-and-Counter,Metagaming,6.14909,55,-54.405888,49.4401,51.798004
5199,3,60,12,1,60,The Lords of Underearth,60,1981,"Fantasy,Wargame",,Keith Gross,,"Hex-and-Counter,Modular Board","Hobby Japan,Metagaming",6.05789,57,-21.927406,19.597569,40.953636
5200,2,60,12,2,60,Helltank,60,1981,"Science Fiction,Wargame",,Philip S. Kosnett,,Hex-and-Counter,Metagaming,6.39677,62,-23.554398,25.518795,32.40129
5203,2,60,10,2,60,Annihilator & One World,60,1980,"Fantasy,Science Fiction,Wargame",,"W. G. Armintrout,James E. Tucker",,Hex-and-Counter,Metagaming,4.74286,70,-24.413551,24.343534,-56.706406
5205,2,75,12,2,75,G.E.V.,75,1978,"Fighting,Science Fiction,Wargame",Ogre / G.E.V.,Steve Jackson (I),"Ogre Battlefields,The Ogre Book,Ogre Reinforcement Pack,Ogre Scenario Book 1,Shockwave",Hex-and-Counter,"Metagaming,Steve Jackson Games",6.93448,771,-25.283617,26.733444,-17.178194
5206,3,45,10,1,45,Ogre,45,1977,"Fighting,Science Fiction,Wargame",Ogre / G.E.V.,Steve Jackson (I),"Ogre Battlefields,The Ogre Book,Ogre Reinforcement Pack,Ogre Reinforcements,Ogre Scenario Book 1,Ogre: ""Targets Go Boom"" Counter Sheets,Ogre: ACD Distribution Sponsored Counter Sheet,Ogre: Barbarians at the Gate Sponsored Counter Sheets,Ogre: BGG 3-D Units Sponsored Counter Sheet,Ogre: BGG Exclusive Overlays Sponsored Counter Sheets,Ogre: Kickstarter Exclusive Overlays Counter Sheets,Ogre: Nightfall Sponsored Counter Sheets,Ogre: Nihon Empire – North American Divisions Sponsored Counter Sheet,Ogre: Strategic & Tactical Objectives Sponsored Counter Sheet,Ogre: Uncommon Ogres Sponsored Counter Sheets,Ogre: Vulcans & Friends Counter Sheets,Shockwave","Dice Rolling,Hex-and-Counter,Variable Player Powers","(Web published),Hobby Japan,Metagaming,Steve Jackson Games",6.97158,2251,-24.967663,27.675705,1.5903751
5208,6,30,0,2,30,Six Cubes,30,1989,"Dice,Party Game",,(Uncredited),,"Dice Rolling,Press Your Luck",Fun & Games Group,5.26304,56,28.342077,-20.690062,-39.098667
5217,8,20,10,4,20,Eleusis,20,1956,"Card Game,Deduction,Educational",Abbott's New Card Games,Robert Abbott,,Pattern Recognition,"(Public Domain),dtv (Deutscher Taschenbuch Verlag),Funk & Wagnalls,Langewiesche-Brandt,Robert Abbott,Stein and Day",7.4709,134,52.919315,46.10027,16.001196
5220,4,60,8,2,60,Star Trek Game,60,1979,"Exploration,Movies / TV / Radio theme,Science Fiction",,Michael Gray,,"Modular Board,Pick-up and Deliver,Roll / Spin and Move",Milton Bradley,6.09839,62,-11.100272,13.358002,44.735752
5222,4,45,10,1,45,Old Town,45,2000,"American West,Deduction",,Stephan Riedel,Old Town: Solitär,"Hand Management,Tile Placement",Clicker Spiele,6.40667,375,-31.590517,-57.756577,29.939222
5228,2,180,12,1,180,Glory,180,1995,"American Civil War,Wargame",,Richard H. Berg,,"Chit-Pull System,Hex-and-Counter,Simulation",GMT Games,6.52305,154,-80.77946,-43.190666,19.277273
5232,2,10,5,2,10,Gnip Gnop,10,1971,"Action / Dexterity,Children's Game,Sports",,Marvin Glass,,,"Fundex,Parker Brothers",4.75313,144,57.6746,-39.797413,-56.610294
5233,2,240,12,2,240,The Great Battles of Alexander,240,1991,"Ancient,Fighting,Wargame",,Mark Herman,"The Battle of Marathon, 490 B.C.,The Great Battles of Epaminondas,Great Battles of the Achaemenidae,Juggernaut: Great Battles of Alexander Module,Simple GBoH,Simple GBoH Battle Manual","Dice Rolling,Hex-and-Counter,Simulation",GMT Games,7.05108,201,-44.95287,-14.145836,-18.070194
5234,4,20,8,2,20,Sniggle!,20,1978,"Abstract Strategy,Children's Game,Racing",,(Uncredited),,Roll / Spin and Move,"Amway,Borras Plana S.A.,Parker Brothers,Warren Paper Products Co.",4.95614,57,24.31247,5.5173426,-53.50109
5235,2,240,14,2,240,Samurai Blades,240,1984,"Medieval,Wargame",,"Peter O'Toole,Alan Paull",,Hex-and-Counter,"Eurogames,Jeux Rexton,Standard Games and Publications, Ltd.",6.61029,136,-22.838581,0.20248501,11.035655
5239,2,300,12,2,300,Omaha Beachhead,300,1987,"Wargame,World War II",,Joseph M. Balkoski,,"Dice Rolling,Hex-and-Counter,Simulation",Victory Games (I),6.11351,111,-51.65156,26.228004,45.185837
5241,3,120,12,2,120,Sinai,120,1973,"Modern Warfare,Wargame",,Jim Dunnigan,,Hex-and-Counter,"SPI (Simulations Publications, Inc.)",6.09874,182,-78.739975,4.8594522,42.524704
5242,2,20,10,2,20,The Game of Y,20,1960,Abstract Strategy,The 15 Greatest Board Games in the World,"Ea Ea,Charles Titus",,"Paper-and-Pencil,Pattern Building","Kadon Enterprises,Longman Publishers",7.18457,94,43.035805,9.147279,-8.323499
5243,4,60,13,4,60,Montage,60,1973,Word Game,,"Joli Quentin Kansil,Rick Soued",,Partnerships,"Eagle-Gryphon Games,Gamut of Games",7.16562,162,66.043396,35.75619,-8.760324
5244,4,30,7,2,30,Star Wars: Destroy Death Star Game,30,1977,"Fighting,Movies / TV / Radio theme,Science Fiction",,(Uncredited),,Roll / Spin and Move,Kenner,5.26027,73,0.9374549,35.678474,-39.061043
5248,6,20,12,2,20,The Lord of the Rings Tarot Deck and Card Game,20,1997,"Card Game,Fantasy,Novel-based",,Mike Fitzgerald,,Hand Management,"EDAF,U.S. Games Systems, Inc.",4.55895,95,-9.647425,41.8937,-59.237003
5255,4,120,12,2,120,Gorkamorka,120,1997,"Fantasy,Humor,Miniatures,Wargame",,"Andy Chambers,Rick Priestley,Gavin Thorpe",Digganob,Dice Rolling,Games Workshop Ltd.,6.51314,312,-25.432276,39.109016,19.703978
5258,6,60,8,3,60,Star Trek: The Next Generation – Interactive VCR Board Game – A Klingon Challenge,60,1993,"Adventure,Movies / TV / Radio theme,Real-time,Science Fiction",,(Uncredited),,"Co-operative Play,Role Playing,Roll / Spin and Move,Simulation","Canada Games,Decipher,Hasbro,MB Giochi,MB Spellen,MB Spiele,Milton Bradley",5.57725,389,0.65216583,46.379246,-44.224297
5259,6,20,12,1,20,Booby-Trap,20,1965,"Action / Dexterity,Children's Game",,Frank W. Sinden,,,"Action GT,Alga,Basic Fun, Inc.,Berliner Spielkarten,Capiépa - Jeux Éducatifs,CEJI,Fundex,Gay-Play,Goki,Golden,Guild Toy Company,Hartung-Spiele,HearthSong,IKEA,IRWIN Games,Jilmar Co, INC.,John Waddington Ltd.,Lakeside,Leksam,Marbles: The Brain Store,MB Jeux,MB Spellen,Milton Bradley,Parker Brothers,Parker Spiele,Pavilion,Pintoy,Pressman Toy Corp.,Schylling,Small World Toys,Toys Pure,Tyco,Waddington's Games, Inc.",5.28145,452,36.81087,35.310177,-42.61986
5260,4,20,12,2,20,Star Wars: Jedi Knights CCG,20,2001,"Card Game,Collectible Components,Movies / TV / Radio theme,Science Fiction",,"Chuck Kallenbach,Tom Lischke",,Role Playing,Decipher,4.62603,121,-33.12728,62.0709,-58.461185
5264,2,120,12,2,120,Kanev,120,1981,"Aviation / Flight,Wargame,World War II",,John Prados,,Hex-and-Counter,"3W (World Wide Wargames),Hobby Japan,People's War Games",6.43469,98,-62.096436,15.643447,31.332561
5265,20,120,12,2,120,Commando,120,1979,"Korean War,Modern Warfare,Wargame,World War I,World War II",,Eric Goldberg,,Role Playing,"SPI (Simulations Publications, Inc.)",5.47761,67,-78.239105,16.884918,-47.653236
5271,8,60,8,2,60,Stack,60,1988,Dice,,Jeffrey L. Strunk,,"Dice Rolling,Pattern Building","Aristoplay,Flitzebogen,Irwin Toy Ltd.,Loresch Publishing,Talicor",5.96985,178,25.494051,71.389824,37.94092
5272,6,45,18,3,45,Hilarium,45,2001,"Humor,Party Game,Word Game",,Brian Hersch,,"Acting,Singing","Hasbro,Mattel,Parker Brothers",5.5096,125,80.89674,-5.067315,-46.88976
5274,2,180,0,2,180,Triumphant Fox,180,1994,"Wargame,World War II",,Dirk Blennemann,,Hex-and-Counter,Moments in History,7.46078,51,-53.31342,51.76779,15.969386
5277,4,180,12,2,180,Overlord,180,1973,"Wargame,World War II",,John Hill (I),,Hex-and-Counter,"Conflict Games,Diseños Orbitales,GDW Games",6.80563,71,-55.48874,52.77493,-15.181601
5278,2,120,12,2,120,Bloody Kasserine,120,1992,"Wargame,World War II",,Frank Chadwick,,Hex-and-Counter,"GDW Games,Kokusai-Tsushin Co., Ltd. (国際通信社)",6.37792,120,-54.581802,51.274204,32.917583
5281,4,60,8,2,60,Octiles,60,1984,"Abstract Strategy,Maze,Racing",,Dale Walton,,Tile Placement,"Kadon Enterprises,Pin International,Pintoy",6.41017,288,15.059878,58.096302,30.44186
5284,6,60,8,2,60,Star Trek: The Next Generation Game of the Galaxies,60,1993,"Movies / TV / Radio theme,Science Fiction",,(Uncredited),,Roll / Spin and Move,Cardinal,3.77843,51,0.8834315,35.915516,-64.381775
5285,0,30,10,1,30,Pro Tennis,30,1983,Sports,,"James Trunzo,Tom Trunzo",Pro Tennis: Player Cards,,"Avalon Hill,TJ Publishing Company",4.16364,55,55.35868,-41.024475,-62.81782
5294,2,180,12,2,180,Fury in the West,180,1977,"American Civil War,Civil War,Wargame",,J. Stephen Peek,,Hex-and-Counter,"Avalon Hill,Battleline",6.54519,135,-67.3362,-33.430656,18.695013
