game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,category,compilation,designer,expansion,mechanic,publisher,average_rating,users_rated,x,y,z
166988,4,30,10,1,30,Wizards of the Wild,30,2015,"Animals,Card Game,Dice",,"Dan Schnake,Adam West",Wizards of the Wild: Forbidden Forest,"Card Drafting,Dice Rolling,Set Collection,Variable Player Powers",CrossCut Games,6.89177,194,-3.2209053,9.31629,22.848654
167190,4,30,10,1,30,Of Dungeons Deep! (Second Edition),30,2015,"Bluffing,Fantasy",,Jason Glover,,"Betting/Wagering,Card Drafting,Deck / Pool Building",Grey Gnome Games,6.47246,54,32.445942,40.602913,-19.868216
167237,4,60,10,2,60,Andromeda,60,2015,"Dice,Exploration,Science Fiction",,Jan Zalewski,,"Area Control / Area Influence,Dice Rolling,Grid Movement,Modular Board","Galakta,Heidelberger Spieleverlag",6.77024,84,6.987013,-8.348621,23.807302
167270,4,60,10,2,60,Medina (second edition),60,2014,"Abstract Strategy,City Building",,Stefan Dorra,,"Area Control / Area Influence,Press Your Luck,Tile Placement","Gigamic,Stronghold Games,White Goblin Games",7.39498,1082,-22.735048,-30.294127,-53.014194
167283,4,30,10,2,30,Circular Reasoning,30,2015,"Abstract Strategy,Maze,Number",,"Tomer Braff,Edward Stevenson",,"Area Movement,Grid Movement,Memory",Breaking Games,6.86471,51,-62.222324,33.103924,-13.873739
167292,4,15,6,2,15,Bellz!,15,2014,Action / Dexterity,,Don Reid,,,"dV Giochi,Game Factory,Wiggles 3D",6.05421,285,-14.470225,33.410995,-2.0223505
167298,4,30,10,2,30,Sheep & Thief,30,2014,Animals,,Yuichi Sakashita,Sheep & Thief: Golden Sheep,"Card Drafting,Tile Placement","Japon Brand,Pegasus Spiele,Power9 Games",6.6891,234,-18.757303,6.9810977,11.655339
167400,4,120,14,2,30,Ashes: Rise of the Phoenixborn,120,2015,"Card Game,Dice,Fantasy,Fighting",,Isaac Vega,"Ashes: Dimona Odinstar,Ashes: Lulu Firststone,Ashes: Orrick Gilstream,Ashes: The Children of Blackcloud,Ashes: The Duchess of Deception,Ashes: The Frostdale Giants,Ashes: The Roaring Rose","Dice Rolling,Hand Management,Variable Player Powers","Asterion Press,Cube Factory of Ideas,Edge Entertainment,Filosofia Éditions,Heidelberger Spieleverlag,Plaid Hat Games",7.63954,2932,5.0524054,7.2540774,-34.174698
167404,5,120,10,2,60,Warsaw Rising Up 1945-1980,120,2016,"City Building,Educational",,"Piotr Grzymisławski,Łukasz Szopka",Odbudowa Warszawy 1945-1980: Pałac Ministrów Skarbu,"Card Drafting,Tile Placement,Worker Placement",Fabryka Gier Historycznych,6.7625,56,-23.545399,-24.241701,-22.35991
167513,4,45,14,2,45,Barony,45,2015,"Abstract Strategy,Medieval,Territory Building",,Marc André,Barony: Sorcery,"Area Control / Area Influence,Area Movement,Modular Board","Matagot,Asmodee,Conclave Editora,REBEL.pl",7.10351,1181,-9.893341,-27.220545,-54.653835
167698,5,60,10,2,60,Magic: The Gathering – Arena of the Planeswalkers,60,2015,"Fantasy,Miniatures,Wargame",,"James D'Aloisio,Ethan Fleischer,Craig Van Ness",Magic: The Gathering – Arena of the Planeswalkers – Battle for Zendikar,"Dice Rolling,Grid Movement,Hand Management,Modular Board,Partnerships","Hasbro,Wizards of the Coast",6.72638,1516,33.03911,-10.95418,-58.014793
167715,20,0,18,5,0,Moral Dilemma,0,2015,"Mature / Adult,Party Game",,,"Famous Moral Dilemmas of History,Moral Dilemma: Modes Expansion,Moral Dilemma: Moral Compass Expansion,Moral Dilemma: Option C expansion",Voting,"(Self-Published),(Web published),GIndie,Lion Rampant Imports,REBEL.pl",4.50429,70,21.169922,60.80774,-16.756172
